File: test2.txt
------------Properties------------
Number of cities: 51
Number of chromosomes: 500
Number of generations: 1000
Tournament candidates: 3
Crossover type: UOX with bitmask
Crossover rate: 100%
Mutation type: Scramble
Mutation rate: 0%
--------------Results-------------
Average distance of first generation: 1620.214
Average distance of last generation: 1448.5588
Best distance of first generation: 1394.783
Best distance of last generation: 1183.9829
-------Per generation stats-------
0 : Average=1620.214Best=1394.783
1 : Average=1582.6216Best=1332.2736
2 : Average=1567.0917Best=1306.9154
3 : Average=1555.6646Best=1306.9154
4 : Average=1555.5865Best=1306.9154
5 : Average=1543.7606Best=1306.9154
6 : Average=1533.9492Best=1306.9154
7 : Average=1531.5883Best=1306.9154
8 : Average=1528.46Best=1306.9154
9 : Average=1521.615Best=1306.9154
10 : Average=1515.0964Best=1306.9154
11 : Average=1512.0907Best=1306.9154
12 : Average=1507.3582Best=1306.9154
13 : Average=1503.3165Best=1306.9154
14 : Average=1495.4733Best=1306.9154
15 : Average=1498.4464Best=1306.9154
16 : Average=1491.7596Best=1306.9154
17 : Average=1487.8573Best=1306.9154
18 : Average=1496.9027Best=1306.9154
19 : Average=1488.9084Best=1306.9154
20 : Average=1490.2869Best=1306.9154
21 : Average=1492.7521Best=1306.9154
22 : Average=1488.479Best=1306.9154
23 : Average=1482.3231Best=1306.9154
24 : Average=1488.8049Best=1306.9154
25 : Average=1488.1113Best=1306.9154
26 : Average=1489.3358Best=1304.6676
27 : Average=1492.1309Best=1304.6676
28 : Average=1487.6426Best=1304.6676
29 : Average=1482.2683Best=1304.6676
30 : Average=1485.9707Best=1304.6676
31 : Average=1486.3647Best=1304.6676
32 : Average=1476.6567Best=1304.6676
33 : Average=1487.9934Best=1304.6676
34 : Average=1487.4127Best=1304.6676
35 : Average=1497.5177Best=1304.6676
36 : Average=1480.0312Best=1304.6676
37 : Average=1485.5851Best=1304.6676
38 : Average=1487.048Best=1304.6676
39 : Average=1479.2528Best=1304.6676
40 : Average=1487.3186Best=1304.6676
41 : Average=1483.722Best=1304.6676
42 : Average=1490.5206Best=1304.6676
43 : Average=1488.6346Best=1304.6676
